,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
226847,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 15:56:50.292000+00:00,2021-01-09 15:56:50.292000+00:00,0.0
226988,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 15:57:20.452000+00:00,2021-01-09 15:57:35.452000+00:00,15.0
227285,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 15:58:20.758000+00:00,2021-01-09 15:59:20.758000+00:00,60.0
227755,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 15:59:51.247000+00:00,2021-01-09 16:00:51.247000+00:00,60.0
228199,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:01:21.713000+00:00,2021-01-09 16:01:36.713000+00:00,15.0
228507,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:02:22.019000+00:00,2021-01-09 16:03:22.019000+00:00,60.0
228954,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:03:52.476000+00:00,2021-01-09 16:04:07.476000+00:00,15.0
229191,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:04:37.766000+00:00,2021-01-09 16:06:22.766000+00:00,105.0
229875,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:06:53.542000+00:00,2021-01-09 16:07:23.542000+00:00,30.0
230307,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:08:23.978000+00:00,2021-01-09 16:09:08.978000+00:00,45.0
230805,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:10:09.474000+00:00,2021-01-09 16:10:24.474000+00:00,15.0
231163,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:11:24.852000+00:00,2021-01-09 16:11:24.852000+00:00,0.0
231316,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:11:55.013000+00:00,2021-01-09 16:11:55.013000+00:00,0.0
231474,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:12:25.191000+00:00,2021-01-09 16:14:40.191000+00:00,135.0
232335,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:15:11.062000+00:00,2021-01-09 16:15:11.062000+00:00,0.0
232483,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:15:41.220000+00:00,2021-01-09 16:17:26.220000+00:00,105.0
233269,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:18:12.032000+00:00,2021-01-09 16:18:27.032000+00:00,15.0
233481,5f92ee2b589cf50017aaeee8,59f9c0dfbc95750d006b98f5,2021-01-09 16:18:57.412000+00:00,2021-01-09 16:18:57.412000+00:00,0.0
96056,5f92ee52589cf50017aafd0f,59f9c0dfbc95750d006b98f5,2021-01-09 09:16:32.335000+00:00,2021-01-09 09:25:32.335000+00:00,540.0
269912,5f92ee68589cf50017ab07c9,59f9c0dfbc95750d006b98f5,2021-01-09 17:39:28.196000+00:00,2021-01-09 17:45:58.196000+00:00,390.0
277909,5f92ee68589cf50017ab07c9,59f9c0dfbc95750d006b98f5,2021-01-09 17:59:47.639000+00:00,2021-01-09 18:12:47.639000+00:00,780.0
282872,5f92ee68589cf50017ab07c9,59f9c0dfbc95750d006b98f5,2021-01-09 18:14:11.153000+00:00,2021-01-09 18:35:11.153000+00:00,1260.0
292318,5f92ee68589cf50017ab07c9,59f9c0dfbc95750d006b98f5,2021-01-09 18:41:02.324000+00:00,2021-01-09 18:41:02.324000+00:00,0.0
89894,5f92ee93589cf50017ab1c45,59f9c0dfbc95750d006b98f5,2021-01-09 08:53:33.212000+00:00,2021-01-09 08:53:33.212000+00:00,0.0
141130,5f92ee93589cf50017ab1c45,59f9c0dfbc95750d006b98f5,2021-01-09 12:29:36.226000+00:00,2021-01-09 12:29:36.226000+00:00,0.0
141546,5f92ee93589cf50017ab1c45,59f9c0dfbc95750d006b98f5,2021-01-09 12:30:38.233000+00:00,2021-01-09 12:30:38.233000+00:00,0.0
149471,5f92ee93589cf50017ab1c45,59f9c0dfbc95750d006b98f5,2021-01-09 12:51:53.234000+00:00,2021-01-09 12:52:08.234000+00:00,15.0
11706,5f92ee9f589cf50017ab225e,59f9c0dfbc95750d006b98f5,2021-01-09 00:48:54.212000+00:00,2021-01-09 01:10:54.212000+00:00,1320.0
452652,5f92eecb589cf50017ab3904,57ea31912bb6581000092e89,2021-01-09 00:33:55.325000+00:00,2021-01-09 00:33:55.325000+00:00,0.0
453151,5f92eecb589cf50017ab3904,57ea31912bb6581000092e89,2021-01-09 00:34:25.615000+00:00,2021-01-09 00:34:25.615000+00:00,0.0
77302,5f92eed0589cf50017ab3b7a,59f9c0dfbc95750d006b98f5,2021-01-09 07:57:42.703000+00:00,2021-01-09 07:57:42.703000+00:00,0.0
139412,5f92eed6589cf50017ab3ef6,59f9c0dfbc95750d006b98f5,2021-01-09 12:25:23.324000+00:00,2021-01-09 12:25:23.324000+00:00,0.0
154389,5f92eed8589cf50017ab4006,59f9c0dfbc95750d006b98f5,2021-01-09 13:05:15.324000+00:00,2021-01-09 13:05:15.324000+00:00,0.0
154968,5f92eed8589cf50017ab4006,59f9c0dfbc95750d006b98f5,2021-01-09 13:06:49.296000+00:00,2021-01-09 13:06:49.296000+00:00,0.0
